"latitude","longitude","elevation","distance"
"47.68644","6.49735","290.5","0.0"
"47.68622","6.49636","291.7","78.0"
"47.68592","6.49651","292.0","113.2"
"47.68523","6.49675","292.3","192.6"
"47.68453","6.49699","292.6","271.9"
"47.68423","6.49647","293.3","323.2"
"47.68406","6.49596","294.1","365.8"
"47.68464","6.49567","294.5","433.8"
"47.68522","6.49539","294.2","501.7"
"47.68580","6.49510","293.9","569.7"
"47.68626","6.49483","293.8","624.7"
"47.68672","6.49464","293.9","678.4"
"47.68719","6.49444","294.0","732.1"
"47.68726","6.49439","294.1","740.8"
"47.68774","6.49431","294.6","794.5"
"47.68815","6.49421","295.7","840.7"
"47.68864","6.49493","299.1","917.2"
"47.68912","6.49566","303.0","993.7"
"47.68981","6.49583","306.7","1071.5"
"47.69067","6.49597","310.1","1167.7"
"47.69117","6.49619","312.0","1225.7"
"47.69158","6.49645","312.7","1275.2"
"47.69175","6.49665","312.9","1299.3"
"47.69189","6.49690","312.9","1323.7"
"47.69239","6.49794","312.5","1419.6"
"47.69289","6.49899","311.5","1515.6"
"47.69325","6.49973","310.5","1584.0"
"47.69362","6.50046","310.1","1652.3"
"47.69398","6.50120","309.5","1720.7"
"47.69441","6.50213","309.2","1805.1"
"47.69443","6.50229","309.1","1817.3"
"47.69441","6.50243","309.1","1828.0"
"47.69422","6.50300","308.9","1875.6"
"47.69416","6.50301","308.9","1882.3"
"47.69412","6.50304","308.9","1887.3"
"47.69407","6.50320","308.8","1900.5"
"47.69409","6.50331","308.8","1909.0"
"47.69411","6.50335","308.8","1912.8"
"47.69413","6.50361","308.7","1932.4"
"47.69422","6.50386","308.7","1953.6"
"47.69433","6.50409","308.7","1974.7"
"47.69451","6.50429","308.8","1999.7"
"47.69502","6.50471","309.3","2064.5"
"47.69525","6.50485","309.4","2092.2"
"47.69538","6.50497","309.5","2109.2"
"47.69543","6.50502","309.5","2115.9"
"47.69550","6.50516","309.4","2128.9"
"47.69557","6.50522","309.4","2137.9"
"47.69558","6.50528","309.4","2142.5"
"47.69563","6.50528","309.4","2148.1"
"47.69588","6.50543","309.4","2178.1"
"47.69616","6.50591","310.3","2225.6"
"47.69663","6.50681","314.1","2310.9"
"47.69676","6.50718","316.7","2342.1"
"47.69676","6.50733","317.9","2353.3"
"47.69684","6.50743","319.2","2365.0"
"47.69690","6.50744","320.0","2371.7"
"47.69711","6.50775","323.9","2404.6"
"47.69743","6.50838","329.4","2463.7"
"47.69782","6.50918","333.0","2537.6"
"47.69821","6.50998","335.5","2611.5"
"47.69850","6.51061","337.1","2668.6"
"47.69894","6.51128","338.6","2738.7"
"47.69933","6.51178","339.4","2796.2"
"47.69972","6.51229","340.7","2853.7"
"47.70037","6.51299","346.2","2942.6"
"47.70101","6.51369","348.3","3031.4"
"47.70165","6.51436","347.9","3119.0"
"47.70230","6.51504","347.2","3206.5"
"47.70294","6.51571","347.1","3294.1"
"47.70359","6.51639","347.0","3381.7"
"47.70423","6.51706","346.6","3469.3"
"47.70490","6.51779","345.3","3561.8"
"47.70558","6.51851","343.8","3654.4"
"47.70625","6.51924","341.9","3746.9"
"47.70703","6.51989","338.5","3846.3"
"47.70781","6.52054","333.5","3945.8"
"47.70810","6.52070","331.8","3980.2"
"47.70869","6.52098","329.3","4049.1"
"47.70928","6.52126","327.8","4117.9"
"47.70997","6.52161","326.4","4198.6"
"47.71065","6.52197","323.9","4279.3"
"47.71127","6.52227","321.5","4351.8"
"47.71189","6.52257","319.5","4424.3"
"47.71251","6.52287","318.1","4496.8"
"47.71328","6.52325","317.2","4587.0"
"47.71390","6.52338","316.9","4656.6"
"47.71436","6.52344","316.8","4708.0"
"47.71465","6.52349","317.2","4740.4"
"47.71495","6.52360","318.2","4774.8"
"47.71519","6.52372","319.1","4802.9"
"47.71589","6.52420","320.4","4888.9"
"47.71660","6.52467","318.9","4974.9"
"47.71730","6.52515","316.1","5060.9"
"47.71801","6.52562","313.5","5146.9"
"47.71871","6.52610","312.7","5232.9"
"47.71934","6.52655","312.5","5310.7"
"47.71996","6.52701","312.5","5387.9"
"47.72058","6.52748","312.6","5465.1"
"47.72096","6.52806","312.6","5525.7"
"47.72109","6.52835","312.6","5551.7"
"47.72121","6.52912","312.8","5611.1"
"47.72132","6.52990","313.6","5670.5"
"47.72132","6.53019","314.0","5692.1"
"47.72202","6.53100","315.8","5790.8"
"47.72222","6.53142","316.4","5829.3"
"47.72236","6.53196","316.7","5872.6"
"47.72256","6.53227","316.7","5904.7"
"47.72297","6.53278","316.3","5963.7"
"47.72337","6.53329","316.5","6022.7"
"47.72397","6.53407","317.4","6111.7"
"47.72452","6.53479","318.2","6193.1"
"47.72508","6.53550","318.8","6274.5"
"47.72563","6.53622","319.4","6355.8"
"47.72618","6.53693","319.8","6437.2"
"47.72639","6.53729","319.8","6472.8"
"47.72637","6.53740","319.8","6481.3"
"47.72638","6.53745","319.8","6485.3"
"47.72642","6.53752","319.8","6492.1"
"47.72650","6.53752","319.8","6501.0"
"47.72655","6.53747","319.8","6507.7"
"47.72711","6.53809","320.1","6585.1"
"47.72766","6.53872","321.5","6662.6"
"47.72820","6.53944","322.6","6743.4"
"47.72875","6.54016","323.0","6824.3"
"47.72929","6.54087","323.4","6905.2"
"47.72984","6.54159","324.1","6986.1"
"47.73038","6.54231","324.9","7067.0"
"47.73103","6.54313","325.7","7161.4"
"47.73167","6.54395","326.0","7255.7"
"47.73230","6.54472","326.1","7346.4"
"47.73294","6.54546","325.7","7437.1"
"47.73359","6.54621","327.2","7527.7"
"47.73423","6.54695","330.8","7618.4"
"47.73488","6.54769","333.9","7709.0"
"47.73552","6.54843","335.3","7799.7"
"47.73617","6.54918","335.6","7890.4"
"47.73681","6.54992","336.8","7981.0"
"47.73753","6.55062","338.5","8076.4"
"47.73824","6.55133","340.0","8171.9"
"47.73896","6.55203","339.3","8267.3"
"47.73967","6.55274","337.1","8362.7"
"47.74039","6.55344","333.6","8458.1"
"47.74110","6.55415","330.6","8553.6"
"47.74182","6.55485","328.5","8649.0"
"47.74253","6.55556","327.9","8744.4"
"47.74325","6.55626","327.4","8839.8"
"47.74395","6.55693","325.9","8932.7"
"47.74466","6.55760","325.3","9025.6"
"47.74536","6.55827","324.7","9118.5"
"47.74554","6.55857","324.6","9148.5"
"47.74554","6.55862","324.6","9152.3"
"47.74560","6.55876","324.5","9164.7"
"47.74566","6.55880","324.5","9172.0"
"47.74570","6.55880","324.5","9176.4"
"47.74577","6.55876","324.6","9184.8"
"47.74597","6.55885","324.6","9208.0"
"47.74644","6.55929","325.1","9269.5"
"47.74690","6.55974","325.6","9331.0"
"47.74745","6.56024","326.6","9402.7"
"47.74800","6.56079","327.1","9475.9"
"47.74854","6.56134","327.4","9549.1"
"47.74878","6.56167","327.5","9585.5"
"47.74889","6.56188","327.4","9605.4"
"47.74912","6.56252","327.1","9659.6"
"47.74933","6.56329","326.9","9721.6"
"47.74953","6.56406","326.7","9783.5"
"47.74986","6.56530","326.7","9883.3"
"47.75018","6.56655","326.8","9983.1"
"47.75051","6.56779","326.8","10082.9"